source,config,encoder,preset,quality,source_bytes,output_bytes,size_pct,encode_seconds,vmaf_mean,vmaf_min,vmaf_p1,cambi_mean,cambi_max
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-22","libx265","slow","22",2222060920,955406198,43.00,1715,95.792323,84.736190,91.878258,0.503500,23.438779
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-medium-20","libx265","medium","20",2222060920,1073186299,48.30,894,95.716496,84.758298,91.730245,0.494195,23.841745
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","nvenc-p7hq-24","hevc_nvenc","p7hq","24",2222060920,920064744,41.41,182,95.233719,46.937129,86.473328,0.851962,23.851195
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","nvenc-p7hq-28","hevc_nvenc","p7hq","28",2222060920,540975775,24.35,180,93.681801,48.548329,81.835395,1.068893,20.645621
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","nvenc-p7hq-32","hevc_nvenc","p7hq","32",2222060920,319554409,14.38,180,91.157157,35.809722,74.625215,1.252505,13.347742
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","nvenc-p4hq-28","hevc_nvenc","p4hq","28",2222060920,543365785,24.45,76,93.499286,47.653780,81.771733,1.066817,20.531835
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-18","libx265","slow","18",1300163196,1009854815,77.67,2507,83.213160,0.000000,0.000000,0.092247,19.255898
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-20","libx265","slow","20",1300163196,709317000,54.56,2270,82.968039,0.000000,0.000000,0.099768,18.489730
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-22","libx265","slow","22",1300163196,502301608,38.63,2091,82.670804,0.000000,0.000000,0.141675,17.552521
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-medium-20","libx265","medium","20",1300163196,592924910,45.60,1016,82.522976,0.000000,0.000000,0.162148,18.309958
